backbone,dataset,horizon,variant,mse,mae,delta_mse_vs_full_pct,latency_ms,max_prefix_k,rank,template_decay,global_mix,local_alpha,clip_value
DLinear,ETTh1,96,zero_shot,0.46953392028808594,0.4661656618118286,,0.0,,,,,,
DLinear,ETTh1,96,full,0.44580578804016113,0.45028573274612427,0.0,2500.325100001646,,,,,,
DLinear,ETTh1,96,no_template,0.4518226385116577,0.45627138018608093,1.3496573245375953,1328.035099999397,,,,,,
DLinear,ETTh1,96,no_alignment,0.4518359303474426,0.45619529485702515,1.352638855092267,1297.9709999999614,,,,,,
DLinear,ETTh1,96,no_low_rank,0.4458043873310089,0.4502864181995392,-0.0003141971660752629,1932.5100999994902,,,,,,
DLinear,ETTh1,96,no_low_freq_removal,0.4409862160682678,0.44685831665992737,-1.0810922830501994,1405.3213000006508,,,,,,
DLinear,ETTh1,96,no_local_propagation,0.4634563624858856,0.46185263991355896,3.9592519700830815,2281.9022000039695,,,,,,
DLinear,ETTh1,96,no_clipping,0.4459758698940277,0.45040202140808105,0.03815155801684097,2361.4722000056645,,,,,,
DLinear,ETTh1,96,no_tail,0.44580578804016113,0.45028573274612427,0.0,2288.7535999980173,,,,,,
DLinear,ETTh1,96,fixed_period_24,0.4467141628265381,0.4521659314632416,0.20376020472285136,1923.502899997402,,,,,,
